code,symbol,name,industry
300519,,新光药业,中成药
000573,,粤宏远Ａ,区域地产
600275,,ST昌鱼,农业综合
000007,,全新好,酒店餐饮
300041,,回天新材,化工原料
000523,,广州浪奇,日用化工
002620,,瑞和股份,装修装饰
000708,,中信特钢,特种钢
002590,,万安科技,汽车配件
002056,,横店东磁,元器件
601608,,中信重工,专用机械
300695,,兆丰股份,汽车配件
002337,,赛象科技,化工机械
300590,,移为通信,通信设备
300601,,康泰生物,生物制药
300281,,金明精机,专用机械
600531,,豫光金铅,铅锌
300290,,荣科科技,软件服务
002521,,齐峰新材,造纸
300723,,一品红,化学制药
000589,,贵州轮胎,汽车配件
603527,,众源新材,铜
600490,,鹏欣资源,铜
600297,,广汇汽车,汽车服务
300178,,腾邦国际,旅游服务
601555,,东吴证券,证券
603077,,和邦生物,化工原料
002347,,泰尔股份,机械基件
601108,,财通证券,证券
002314,,南山控股,区域地产
000701,,厦门信达,综合类
000099,,中信海直,空运
600171,,上海贝岭,半导体
002103,,广博股份,互联网
300340,,科恒股份,元器件
600408,,ST安泰,焦炭加工
000757,,浩物股份,汽车配件
000543,,皖能电力,火力发电
000545,,金浦钛业,化工原料
600829,,人民同泰,医药商业
601228,,广州港,港口
002796,,世嘉科技,专用机械
000722,,湖南发展,水力发电
000534,,万泽股份,生物制药
002071,,长城影视,影视音像
000949,,新乡化纤,化纤
002772,,众兴菌业,种植业
600717,,天津港,港口
603286,,日盈电子,汽车配件
002647,,仁东控股,多元金融
300359,,全通教育,文教休闲
300499,,高澜股份,专用机械
600109,,国金证券,证券
002065,,东华软件,软件服务
603030,,全筑股份,装修装饰
601965,,中国汽研,汽车服务
600609,,金杯汽车,汽车配件
002404,,嘉欣丝绸,纺织
002253,,川大智胜,软件服务
600475,,华光股份,专用机械
002535,,林州重机,工程机械
000009,,中国宝安,综合类
600196,,复星医药,化学制药
002170,,芭田股份,农药化肥
000965,,天保基建,区域地产
002352,,顺丰控股,仓储物流
300732,,设研院,建筑工程
300122,,智飞生物,生物制药
002551,,尚荣医疗,医疗保健
002627,,宜昌交运,公共交通
300570,,太辰光,元器件
000955,,欣龙控股,纺织
300151,,昌红科技,机械基件
002396,,星网锐捷,通信设备
002186,,全 聚 德,酒店餐饮
300392,,腾信股份,互联网
600255,,梦舟股份,铜
600114,,东睦股份,机械基件
002179,,中航光电,元器件
002564,,天沃科技,建筑工程
600775,,南京熊猫,通信设备
300328,,宜安科技,铝
603227,,雪峰科技,化工原料
300110,,华仁药业,化学制药
603063,,禾望电气,电气设备
002673,,西部证券,证券
603969,,银龙股份,其他建材
300079,,数码科技,通信设备
603611,,诺力股份,运输设备
600643,,爱建集团,多元金融
600203,,福日电子,元器件
300062,,中能电气,电气设备
600249,,两面针,日用化工
600588,,用友网络,软件服务
